선수명,팀명
성영탁,KIA
양현종,KIA
올러,KIA
유승철,KIA
윤영철,KIA
윤중현,KIA
이준영,KIA
이형범,KIA
임기영,KIA
장재혁,KIA
전상현,KIA
정해영,KIA
조상우,KIA
최지민,KIA
홍원빈,KIA
황동하,KIA
강건,KT
고영표,KT
김민수,KT
김재원,KT
문용익,KT
박영현,KT
소형준,KT
손동현,KT
오원석,KT
우규민,KT
원상현,KT
이상동,KT
이정현,KT
이채호,KT
전용주,KT
조이현,KT
주권,KT
최동환,KT
최용준,KT
쿠에바스,KT
헤이수스,KT
김강률,LG
김영우,LG
김유영,LG
김종운,LG
김주온,LG
김진성,LG
박명근,LG
배재준,LG
백승현,LG
성동현,LG
손주영,LG
송승기,LG
에르난데스,LG
우강훈,LG
유영찬,LG
이우찬,LG
이지강,LG
임찬규,LG
장현식,LG
최채흥,LG
치리노스,LG
코엔 윈,LG
김녹원,NC
김민규,NC
김시훈,NC
김재열,NC
김진호,NC
김태경,NC
김태현,NC
김태훈,NC
라일리,NC
로건,NC
류진욱,NC
목지훈,NC
배재환,NC
손주환,NC
신민혁,NC
신영우,NC
이용찬,NC
이준혁,NC
임상현,NC
임정호,NC
전사민,NC
최성영,NC
최우석,NC
한재승,NC
김건우,SSG
김광현,SSG
김민,SSG
노경은,SSG
문승원,SSG
박기호,SSG
박시후,SSG
박종훈,SSG
서진용,SSG
송영진,SSG
앤더슨,SSG
이로운,SSG
전영준,SSG
정동윤,SSG
조병현,SSG
최민준,SSG
최현석,SSG
한두솔,SSG
화이트,SSG
