선수명,POS
안상현,3루수.유격수.2루수
에레디아,좌익수
오태곤,좌익수.1루수.우익수.중견수
이로운,투수
이율예,포수
이지영,포수
정준재,2루수
정현승,우익수.좌익수
조병현,투수
조형우,포수
채현우,좌익수.우익수.중견수
최상민,우익수.중견수.좌익수
최정,3루수
최준우,좌익수.우익수
최지훈,중견수
하재훈,우익수
한유섬,우익수.좌익수
현원회,1루수
