AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,RISP,MH,OPS,
0.287,49,174,150,23,43,8,0,5,66,19,0,2,0.287,20,0,2,39,3,0.44,9,0.814,0.374,
0.167,17,35,30,2,5,1,0,1,9,2,0,0,0.167,5,0,0,13,0,0.3,1,0.586,0.286,
,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,
,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,
0.284,60,237,215,25,61,15,1,9,105,31,1,0,0.284,16,1,5,52,1,0.488,16,0.835,0.347,
0.236,38,81,72,4,17,3,0,1,23,8,1,0,0.236,7,0,1,14,4,0.319,3,0.632,0.313,
0.28,48,131,93,12,26,5,0,0,31,12,4,4,0.28,20,0,10,13,1,0.333,7,0.774,0.441,
0.273,60,266,242,36,66,17,2,8,111,26,0,1,0.273,23,2,0,62,2,0.459,20,0.794,0.335,
0.296,26,91,81,12,24,5,0,0,29,10,3,0,0.296,5,0,2,23,1,0.358,7,0.71,0.352,
1,2,1,1,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,2,0,3,1,
0.239,54,173,155,24,37,9,0,1,49,9,1,1,0.239,16,0,0,22,2,0.316,9,0.624,0.308,
0.226,52,102,93,13,21,3,0,0,24,6,2,0,6,0,1,27,0,0.258,0.28,0.207,5,0.538,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.33,27,111,100,19,33,9,0,7,63,26,0,2,9,1,0,18,3,0.63,0.378,0.333,10,1.008,
0.231,13,42,39,4,9,1,0,0,10,5,0,0,2,0,1,17,0,0.256,0.286,0.333,3,0.542,
0.292,34,125,106,11,31,10,0,0,41,17,1,1,16,0,1,11,3,0.387,0.387,0.375,10,0.774,
0.225,37,101,89,8,20,6,0,1,29,8,2,2,6,0,2,5,3,0.326,0.283,0.2,5,0.609,
0.263,21,66,57,7,15,6,0,0,21,5,2,0,6,0,1,15,0,0.368,0.344,0.333,3,0.712,
0.226,26,110,93,13,21,5,0,4,38,16,0,0,16,0,1,21,5,0.409,0.345,0.194,5,0.754,
0.2,3,6,5,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0.2,0.333,0,0,0.533,
0.1,26,32,30,6,3,1,0,0,4,0,0,0,2,0,0,12,0,0.133,0.156,0,0,0.289,
0.28,38,61,50,11,14,2,0,0,16,4,0,0,9,0,2,11,1,0.32,0.41,0.286,1,0.73,
0.264,49,219,182,26,48,8,0,1,59,14,6,2,29,0,0,22,3,0.324,0.362,0.324,11,0.686,
0.215,40,132,121,9,26,7,0,0,33,16,0,0,10,0,1,40,3,0.273,0.28,0.31,7,0.553,
0.136,10,26,22,1,3,1,0,1,7,2,2,0,2,0,0,5,1,0.318,0.208,0,0,0.526,
0.321,40,142,131,25,42,8,0,5,65,18,0,0,11,0,0,41,3,0.496,0.373,0.286,12,0.869,
0.265,38,162,136,27,36,9,0,10,75,30,0,2,23,1,1,41,1,0.551,0.37,0.273,11,0.921,
0.349,13,48,43,10,15,3,0,4,30,9,0,0,4,0,1,7,0,0.698,0.417,0.333,5,1.115,
0.234,51,166,145,11,34,10,1,2,52,15,0,1,18,0,2,34,3,0.359,0.325,0.2,8,0.684,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.067,9,18,15,4,1,0,0,0,1,0,0,0,3,0,0,4,3,0.067,0.222,0.167,0,0.289,
0.204,41,150,137,18,28,3,0,4,43,15,0,0,11,0,2,27,1,0.314,0.273,0.189,5,0.587,
0.167,4,6,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.167,0.167,0,0,0.334,
0.34,55,230,194,33,66,18,1,10,116,37,0,2,32,3,2,34,4,0.598,0.435,0.36,18,1.033,
