AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,RISP,MH,OPS,
0.246,57,238,199,26,49,9,1,7,81,31,0,1,36,1,2,35,6,0.407,0.366,0.321,11,0.773,
0.328,61,274,250,37,82,22,0,7,125,47,0,4,19,3,1,33,8,0.5,0.372,0.352,26,0.872,
0.158,17,22,19,1,3,1,0,0,4,0,1,0,1,0,1,7,0,0.211,0.238,0,1,0.449,
0.5,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0.5,0,0,1.5,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.143,10,9,7,2,1,0,0,1,4,2,1,0,0,0,1,3,0,0.571,0.25,0,0,0.821,
0.261,44,175,153,13,40,3,0,2,49,19,5,2,11,0,4,32,7,0.32,0.324,0.333,12,0.644,
0.295,52,159,129,22,38,9,0,4,59,19,2,2,18,0,8,36,6,0.457,0.408,0.243,8,0.865,
0.302,52,214,182,34,55,10,0,4,77,29,1,4,26,1,1,36,7,0.423,0.385,0.279,15,0.808,
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
0.238,50,75,63,11,15,3,4,0,26,8,1,1,7,0,3,17,1,0.413,0.338,0.238,4,0.751,
0.283,54,147,127,26,36,2,0,0,38,18,6,2,10,0,2,30,3,0.299,0.34,0.316,10,0.639,
0.374,46,175,155,26,58,10,0,3,77,22,7,1,10,0,2,29,2,0.497,0.417,0.383,18,0.914,
0.292,60,257,219,28,64,16,1,4,94,33,3,4,25,1,6,38,6,0.429,0.374,0.286,17,0.803,
0.228,47,87,79,3,18,3,1,1,26,11,1,0,6,1,1,16,4,0.329,0.291,0.32,2,0.62,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.229,41,112,105,9,24,7,0,1,34,8,0,0,7,0,0,23,4,0.324,0.277,0.207,4,0.601,
0,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
0.385,31,15,13,10,5,2,0,0,7,1,0,0,2,0,0,4,0,0.538,0.467,0.5,0,1.005,
0.324,28,121,111,18,36,3,1,0,41,12,1,0,7,0,2,14,1,0.369,0.375,0.345,12,0.744,
0.286,55,209,185,14,53,12,0,3,74,32,0,3,20,2,1,30,5,0.4,0.354,0.357,11,0.754,
0.242,59,249,215,41,52,15,0,9,94,37,1,4,28,3,1,43,5,0.437,0.327,0.292,13,0.764,
0.358,54,212,179,40,64,12,3,2,88,26,6,1,25,0,1,28,1,0.492,0.437,0.458,17,0.929,
0.255,51,202,184,25,47,8,1,8,81,28,0,2,15,2,1,59,3,0.44,0.312,0.3,10,0.752,
0.125,10,18,16,0,2,0,0,0,2,4,0,1,0,0,1,6,0,0.125,0.167,0.5,1,0.292,
0,5,3,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.333,0,0,0.333,
0.308,32,137,120,25,37,5,1,0,44,12,0,2,11,0,4,12,0,0.367,0.38,0.31,11,0.747,
0.333,11,14,12,2,4,0,0,0,4,0,0,0,2,0,0,4,0,0.333,0.429,0,0,0.762,
0.5,5,7,6,1,3,0,0,1,6,2,1,0,0,0,0,0,0,1,0.5,0,0,1.5,
0.264,40,121,110,17,29,5,0,2,40,6,2,0,5,0,4,17,4,0.364,0.319,0.115,6,0.683,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.294,60,256,231,38,68,12,0,22,146,64,0,3,21,2,1,49,4,0.632,0.352,0.361,19,0.984,
0.285,58,210,179,27,51,7,0,0,58,19,7,2,17,0,5,33,5,0.324,0.36,0.293,14,0.684,
0.2,48,151,125,18,25,3,0,9,55,20,0,2,19,0,5,46,3,0.44,0.325,0.219,7,0.765,
0.414,9,31,29,6,12,3,0,0,15,1,0,0,2,0,0,9,1,0.517,0.452,0.2,3,0.969,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.208,18,29,24,7,5,0,0,0,5,1,1,0,4,0,0,8,0,0.208,0.321,0.167,2,0.529,
0.214,6,15,14,1,3,0,0,0,3,0,0,0,1,0,0,4,1,0.214,0.267,0,0,0.481,
0.345,48,71,55,10,19,2,0,0,21,5,5,1,9,0,1,10,3,0.382,0.439,0.25,5,0.821,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.189,23,43,37,3,7,1,0,0,8,3,0,2,4,0,0,16,1,0.216,0.256,0.286,2,0.472,
0.087,20,25,23,1,2,0,0,0,2,0,0,0,1,0,1,5,0,0.087,0.16,0,0,0.247,
0.163,24,60,49,5,8,1,1,1,14,6,1,1,7,0,2,24,1,0.286,0.288,0.167,1,0.574,
0.236,59,242,195,35,46,8,0,6,72,27,3,4,36,1,4,56,3,0.369,0.36,0.232,7,0.729,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
